barrio,municipality,latitude,longitude
Barrio Pueblo,Adjuntas,18.1637762,-66.7235437
Capáez,Adjuntas,18.2020075,-66.7428115
Garzas,Adjuntas,18.1514776,-66.7496022
Guayabo Dulce,Adjuntas,18.206232,-66.8255417
Guayo,Adjuntas,18.1785649,-66.8216801
Guilarte,Adjuntas,18.1590888,-66.7768034
Juan González,Adjuntas,18.1906183,-66.7237213
Limaní,Adjuntas,18.1623628,-66.8016729
Pellejas,Adjuntas,18.2121373,-66.7095203
Portillo,Adjuntas,18.2280747,-66.8000393
Portugués,Adjuntas,18.1417775,-66.6829253
Saltillo,Adjuntas,18.1338601,-66.7201361
Tanamá,Adjuntas,18.2201845,-66.7675028
Vegas Abajo,Adjuntas,18.1852155,-66.7011854
Vegas Arriba,Adjuntas,18.1706693,-66.6887836
Yahuecas,Adjuntas,18.1984877,-66.7959539
Yayales,Adjuntas,18.1898986,-66.7654118
Asomante,Aguada,18.3839653,-67.1723128
Atalaya,Aguada,18.3302863,-67.1863511
Barrio Pueblo,Aguada,18.380211,-67.1886322
Carrizal,Aguada,18.3992681,-67.1801445
Cerro Gordo,Aguada,18.3282741,-67.1424052
Cruces,Aguada,18.350761,-67.2133341
Espinar,Aguada,18.4078553,-67.1629427
Guanábano,Aguada,18.3811875,-67.1552232
Guaniquilla,Aguada,18.3894251,-67.19705
Guayabo,Aguada,18.3745065,-67.2088668
Jagüey,Aguada,18.3503278,-67.2011755
Lagunas,Aguada,18.3375121,-67.1714341
Mal Paso,Aguada,18.3659877,-67.1693523
Mamey,Aguada,18.3773085,-67.1409162
Marías,Aguada,18.359339,-67.1382067
Naranjo,Aguada,18.3453814,-67.1576695
Piedras Blancas,Aguada,18.3630462,-67.1860513
Río Grande,Aguada,18.3719979,-67.2307263
Aguacate,Aguadilla,18.4999495,-67.1103085
Arenales,Aguadilla,18.4697439,-67.1073469
Barrio Pueblo,Aguadilla,18.4297339,-67.1556935
Borinquen,Aguadilla,18.4722488,-67.1612089
Caimital Alto,Aguadilla,18.4416201,-67.0960542
Caimital Bajo,Aguadilla,18.4280503,-67.1369611
Camaceyes,Aguadilla,18.4654623,-67.1382269
Ceiba Alta,Aguadilla,18.4773715,-67.0876884
Ceiba Baja,Aguadilla,18.459858,-67.0807025
Corrales,Aguadilla,18.4528019,-67.1306564
Guerrero,Aguadilla,18.4813133,-67.072688
Maleza Alta,Aguadilla,18.4992467,-67.1232277
Maleza Baja,Aguadilla,18.4966937,-67.1380265
Montaña,Aguadilla,18.4982492,-67.0971693
Palmar,Aguadilla,18.3984028,-67.1386562
Victoria,Aguadilla,18.4063589,-67.1489481
Bairoa,Aguas Buenas,18.2635655,-66.0838333
Barrio Pueblo,Aguas Buenas,18.2564693,-66.1054279
Bayamoncito,Aguas Buenas,18.2354806,-66.163639
Cagüitas,Aguas Buenas,18.2377921,-66.0959726
Jagüeyes,Aguas Buenas,18.2812042,-66.0821004
Juan Asencio,Aguas Buenas,18.2628102,-66.1643063
Mula,Aguas Buenas,18.2484007,-66.1306624
Mulita,Aguas Buenas,18.2532024,-66.1444302
Sonadora,Aguas Buenas,18.2740463,-66.1200196
Sumidero,Aguas Buenas,18.2261809,-66.1230312
Algarrobo,Aibonito,18.1031537,-66.2696114
Asomante,Aibonito,18.1336524,-66.3077057
Barrio Pueblo,Aibonito,18.1363212,-66.2641751
Caonillas,Aibonito,18.1599933,-66.2639216
Cuyón,Aibonito,18.0967061,-66.2407633
Llanos,Aibonito,18.1485885,-66.2838777
Pasto,Aibonito,18.1231608,-66.2696596
Plata,Aibonito,18.1583326,-66.2398282
Robles,Aibonito,18.1334077,-66.2388274
Añasco Abajo,Añasco,18.27631,-67.1742445
Añasco Arriba,Añasco,18.2762001,-67.1467988
Barrio Pueblo,Añasco,18.2829063,-67.1413706
Caguabo,Añasco,18.3003065,-67.2131229
Caracol,Añasco,18.3005632,-67.1593624
Carreras,Añasco,18.2873834,-67.1250036
Casey Abajo,Añasco,18.2679564,-67.1051769
Casey Arriba,Añasco,18.2609357,-67.0861134
Cerro Gordo,Añasco,18.3026969,-67.0810381
Cidra,Añasco,18.2831866,-67.1029691
Corcovada,Añasco,18.2933766,-67.0565439
Dagüey,Añasco,18.3058102,-67.1276071
Espino,Añasco,18.2823631,-67.1147842
Hatillo,Añasco,18.2992982,-67.1883302
Humatas,Añasco,18.3092544,-67.1063614
Marías,Añasco,18.3003232,-67.1408612
Miraflores,Añasco,18.279132,-67.0801438
Ovejas,Añasco,18.2622296,-67.1115465
Piñales,Añasco,18.3003912,-67.1726788
Playa,Añasco,18.2850922,-67.1911762
Quebrada Larga,Añasco,18.3068363,-67.1491971
Río Arriba,Añasco,18.273963,-67.0483457
Río Cañas,Añasco,18.2493688,-67.1242144
Arenalejos,Arecibo,18.4267173,-66.6694231
Arrozal,Arecibo,18.3829536,-66.6460236
Barrio Pueblo,Arecibo,18.473129,-66.7202197
Cambalache,Arecibo,18.4619088,-66.6918308
Carreras,Arecibo,18.3851173,-66.6796357
Domingo Ruíz,Arecibo,18.4359884,-66.6867676
Dominguito,Arecibo,18.4015959,-66.7428114
Esperanza,Arecibo,18.3641722,-66.7484191
Factor,Arecibo,18.4579336,-66.6338338
Garrochales,Arecibo,18.4599374,-66.5955313
Hato Abajo,Arecibo,18.4661754,-66.7505774
Hato Arriba,Arecibo,18.436879,-66.7452006
Hato Viejo,Arecibo,18.3618392,-66.7046382
Islote,Arecibo,18.4808141,-66.6404768
Miraflores,Arecibo,18.416798,-66.6471088
Río Arriba,Arecibo,18.3411822,-66.6838687
Sabana Hoyos,Arecibo,18.3769523,-66.6119829
Santana,Arecibo,18.4527127,-66.6650963
Tanamá,Arecibo,18.4250163,-66.7175636
Ancones,Arroyo,17.9943573,-66.0440742
Barrio Pueblo,Arroyo,17.9629845,-66.062727
Guásimas,Arroyo,17.9761396,-66.0668869
Palmas,Arroyo,17.9720599,-66.0419453
Pitahaya,Arroyo,18.0038074,-66.0668626
Yaurel,Arroyo,18.0282066,-66.0687775
