municipality,abbreviation,latitude,longitude
Adjuntas,ADJ,18.18,-66.754
Aguada,AGD,18.36,-67.175
Aguadilla,AGL,18.46,-67.121
Aguas Buenas,ABU,18.251,-66.127
Aibonito,AIB,18.131,-66.264
Arecibo,ARE,18.407,-66.675
Arroyo,ARR,17.998,-66.056
Añasco,ANA,18.288,-67.12
Barceloneta,BCL,18.445,-66.56
Barranquitas,BQT,18.202,-66.31
Bayamón,BAY,18.35,-66.168
Cabo Rojo,CAB,18.042,-67.154
Caguas,CAG,18.212,-66.051
Camuy,CAM,18.419,-66.86
Canóvanas,CAN,18.329,-65.888
Carolina,CAR,18.375,-65.957
Cataño,CAT,18.438,-66.144
Cayey,CAY,18.103,-66.149
Ceiba,CEI,18.252,-65.667
Ciales,CIA,18.289,-66.516
Cidra,CID,18.174,-66.161
Coamo,COA,18.097,-66.36
Comerío,COM,18.225,-66.222
Corozal,COR,18.304,-66.328
Culebra,CUL,18.316,-65.287
Dorado,DOR,18.437,-66.278
Fajardo,FAJ,18.318,-65.668
Florida,FLO,18.373,-66.56
Guayama,GYM,18.008,-66.134
Guayanilla,GYL,18.041,-66.792
Guaynabo,GYB,18.343,-66.114
Gurabo,GUR,18.266,-65.979
Guánica,GNC,18.411,-66.796
Hatillo,HAT,18.134,-67.114
Hormigueros,HOR,18.145,-65.81
Humacao,HUM,18.45,-67.005
Isabela,ISA,18.211,-66.588
Jayuya,JAY,18.051,-66.495
Juana Díaz,JUA,18.224,-65.909
Juncos,JUN,18.012,-67.04
Lajas,LAJ,18.269,-66.867
Lares,LAR,18.237,-66.983
Las Marías,LMA,18.187,-65.869
Las Piedras,LPI,18.426,-65.899
Loíza,LOI,18.342,-65.725
Luquillo,LUQ,18.42,-66.49
Manatí,MAN,18.172,-66.942
Maricao,MAR,18.018,-65.922
Maunabo,MAU,18.211,-67.112
Mayagüez,MAY,18.378,-67.081
Moca,MOC,18.317,-66.42
Morovis,MOR,18.231,-65.754
Naguabo,NAG,18.288,-66.253
Naranjito,NAR,18.215,-66.434
Orocovis,ORO,18.032,-66.013
Patillas,PAT,18.061,-66.721
Peñuelas,PEN,18.06,-66.614
Ponce,PON,18.44,-66.926
Quebradillas,QUE,18.335,-67.232
Rincón,RIN,18.346,-65.814
Río Grande,RGR,18.011,-66.256
Sabana Grande,SGR,18.387,-66.061
Salinas,SAL,18.148,-65.976
San Germán,SGE,18.329,-66.971
San Juan,SJU,17.995,-66.389
San Lorenzo,SLO,18.363,-66.246
San Sebastián,SSE,18.431,-66.214
Santa Isabel,SIS,18.336,-65.999
Toa Alta,TAL,18.271,-66.702
Toa Baja,TBA,18.409,-66.337
Trujillo Alto,TRU,18.428,-66.398
Utuado,UTU,18.123,-65.441
Vega Alta,VAL,18.128,-66.473
Vega Baja,VBA,18.071,-65.897
Vieques,VIE,18.08,-66.859
Villalba,VIL,17.983,-66.92
Yabucoa,YAB,18.111,-67.038
Yauco,YAU,18.083,-66.944
